id,lat,lng,provider
162,49.4931826,14.9413063,seznam
163,49.5692608,15.2042006,seznam
164,49.5674477,15.1972172,seznam
165,49.55904,15.180464,seznam
166,49.564949,15.258776,seznam
167,49.568619,15.22823,seznam
168,49.555893,15.291659,seznam
169,49.567631,15.248314,seznam
170,49.568096,15.216092,seznam
171,49.558067,15.274023,seznam
172,49.565636,15.192271,seznam
173,49.553707,15.166805,seznam
174,49.5697502,15.2372776,seznam
175,49.5520016,15.1607976,seznam
176,49.531509,15.206475,seznam
177,49.535851,15.237421,seznam
178,49.539146,15.295319,seznam
179,49.8664165,12.7326866,seznam
180,49.9647269,12.7012927,seznam
181,49.9374556,12.6648698,seznam
182,49.9662919,12.6559796,seznam
183,49.8753016,12.7382064,seznam
184,49.8563017,12.7285497,seznam
185,49.9513824,12.7162383,seznam
186,49.9581199,12.6950406,seznam
187,49.870991,12.7359062,seznam
188,49.8864866,12.6795757,seznam
189,49.9665076,12.66082,seznam
190,49.9533879,12.7011551,seznam
191,49.9079236,12.8717208,seznam
192,50.0077258,12.6272431,seznam
193,49.969905,12.7025451,seznam
194,49.9665121,12.8760168,seznam
195,49.9735232,12.7036932,seznam
196,49.9755102,12.6581202,seznam
197,49.9605544,12.6672839,seznam
198,49.9601994,12.7007216,seznam
199,49.9645139,12.6719713,seznam
200,49.9884718,12.6983896,seznam
201,49.9741414,12.7129667,seznam
202,49.9337154,12.9199945,seznam
203,49.9642712,12.6970901,seznam
204,49.8664294,12.7388048,seznam
205,49.8680531,12.7427263,seznam
206,49.8934135,12.7300468,seznam
207,49.8970549,12.7290403,seznam
208,49.9784116,12.7064136,seznam
209,49.9824243,12.8621466,seznam
210,49.9487014,12.710689,seznam
211,49.9529149,12.7098503,seznam
212,49.9576348,12.7064614,seznam
213,49.9625072,12.6770613,seznam
214,49.9644276,12.6653499,seznam
215,49.9753827,12.6992105,seznam
216,49.9764418,12.7361556,seznam
217,49.9757363,12.7438982,seznam
218,49.8579418,12.7934568,seznam
219,49.9609052,12.6961262,seznam
220,49.8892098,12.6073177,seznam
221,49.9573423,12.7012957,seznam
222,49.9552012,12.6954783,seznam
223,49.9545454,12.6894491,seznam
224,49.9517266,12.6861514,seznam
225,49.9480352,12.68056,seznam
226,49.9419087,12.6658789,seznam
227,49.8767341,12.9095575,seznam
228,49.9725435,12.7217119,seznam
229,50.0252557,12.66811,seznam
230,50.0343359,12.6910896,seznam
231,49.8371253,12.6814856,seznam
232,49.8943344,12.7261077,seznam
233,49.9108867,12.7395257,seznam
234,50.0085231,12.6337465,seznam
235,50.0470263,12.7266709,seznam
236,50.0107571,12.6812935,seznam
237,50.0096093,12.7138974,seznam
238,49.8721375,12.7405132,seznam
239,49.9581271,12.6066814,seznam
240,49.96766,12.6998449,seznam
241,49.9639062,12.6902562,seznam
242,49.96397,12.7053621,seznam
243,49.9668733,12.7060789,seznam
244,49.9796154,12.6999703,seznam
245,49.9770867,12.7116475,seznam
246,49.975201,12.7073777,seznam
247,49.980197,12.8669006,seznam
248,50.0367744,12.7868697,seznam
249,50.0034102,12.6084235,seznam
250,49.8614041,12.7387978,seznam
251,49.8596802,12.7471954,seznam
252,49.8639299,12.7465143,seznam
253,49.8497035,12.7370508,seznam
254,49.8612538,12.7312457,seznam
255,49.8341142,12.7409145,seznam
256,49.8390726,12.7397735,seznam
257,49.8284658,12.7395898,seznam
258,49.9783776,12.8616533,seznam
259,49.9699423,12.8734373,seznam
260,49.9603358,12.8177915,seznam
261,49.9763259,12.8572432,seznam
262,49.825639,12.8158917,seznam
263,50.0504611,12.7321713,seznam
264,49.9445576,12.6750764,seznam
265,50.0297479,12.6260041,seznam
266,49.9183496,12.6779839,seznam
267,49.9763088,12.6325674,seznam
268,49.9919498,12.5960129,seznam
269,49.9792791,12.8037366,seznam
270,49.9701435,12.8363375,seznam
271,49.9747011,12.8432496,seznam
272,49.9930895,12.6069041,seznam
273,49.994939,12.6157326,seznam
274,49.9601977,12.708164,seznam
275,49.9781766,12.6543976,seznam
276,49.9557105,12.6142634,seznam
277,49.959777,12.6723688,seznam
278,49.9533766,12.6636766,seznam
279,50.0046974,12.6316469,seznam
280,49.9978606,12.6258297,seznam
281,49.9269402,12.6060697,seznam
282,49.8369735,12.6864403,seznam
283,49.8449513,12.6891993,seznam
284,49.8712496,12.7446794,seznam
285,49.9022402,12.8212998,seznam
286,49.8235402,12.7850314,seznam
287,49.9765972,12.8701787,seznam
288,49.9633894,12.8882567,seznam
289,49.9602605,12.9059765,seznam
290,49.9566952,12.9167295,seznam
291,49.9926092,12.8268701,seznam
292,49.9547219,12.9365958,seznam
293,49.9404127,12.9424334,seznam
294,49.9360992,12.6202199,seznam
295,49.9203779,12.6082793,seznam
296,49.9284923,12.6146166,seznam
297,49.9422344,12.6163877,seznam
298,49.936031,12.5975955,seznam
299,49.9609846,12.8312936,seznam
300,49.9944723,12.6210932,seznam
301,50.0443772,12.8914878,seznam
302,49.8882706,12.7325395,seznam
303,49.9511405,12.7040523,seznam
304,49.8322975,12.8017766,seznam
