id,ya_id,lat,lng,provider
1,1503959020_460550836_23_1461227555,71.23614159632226,72.1207775920628,yandex_air
2,1264274012_483609984_23_1599664161,69.95124713838148,31.94044701755031,yandex_air
3,1479339628_471141273_23_1657463384,70.65619166003624,67.9936303943394,yandex_air
5,1879669602_478335960_23_1655142671,70.252388844718,135.10417196899635,yandex_air
6,2075467385_486663260_23_1659269500,69.77489714257004,167.92733330279572,yandex_air
7,1271186737_500195274_23_1677434609,68.97525762156468,33.09928268194183,yandex_air
8,1263737622_491642736_23_1664114896,69.48409712597697,31.850527636706676,yandex_air
9,1271249158_492803434_23_1564614597,69.41573882590265,33.1097469851373,yandex_air
10,1261122216_487937091_23_1625783233,69.70082879870316,31.41197204589828,yandex_air
11,1263584680_489041115_23_1664026316,69.63652776290301,31.82488873600944,yandex_air
12,1286095843_502524363_23_1659866753,68.83460828707759,35.598616339266144,yandex_air
13,1286796956_500005971_23_1659868553,68.98659343109045,35.71586608886703,yandex_air
14,1283048255_496355431_23_1677854524,69.20518885852279,35.08772492408737,yandex_air
15,1288893239_497778153_23_1659878817,69.12027777688904,36.06756638735517,yandex_air
16,1281005047_502177554_23_1661068001,68.85560823122282,34.74520549178108,yandex_air
17,1587789171_492955584_23_1675543338,69.40676191959241,86.17390193045122,yandex_air
18,1599918482_493987764_23_1688066770,69.34576381076808,88.20723596960289,yandex_air
19,1600121449_491169642_23_1658684551,69.51189712626503,88.2412607967852,yandex_air
20,1611502150_495158558_23_1661299291,69.2763646204805,90.14909964054807,yandex_air
21,1597223240_493772585_23_1688322173,69.35849443503359,87.75541082024557,yandex_air
22,1615007885_491470880_23_1660473296,69.49419992564637,90.73679443448763,yandex_air
24,1619733360_491609949_23_1659289596,69.48602498345062,91.52896374464018,yandex_air
25,2041909026_489230957_23_1659125462,69.62544163485744,162.30167482048256,yandex_air
26,2036088931_503887533_23_1659017148,68.75187220574992,161.32600553333742,yandex_air
28,2089684538_487947419_23_1659703741,69.70028329891284,170.31066913157687,yandex_air
29,1189513044_511782420_23_1547811481,68.26659384947467,19.407663121819336,yandex_air
30,1177951026_508976190_23_1545133087,68.44028465229484,17.469428814947445,yandex_air
31,1272469888_513877750_23_1651766009,68.13603491304765,33.31438779830917,yandex_air
32,1269303051_519241835_23_1599457713,67.79838888764823,32.78350554406627,yandex_air
33,1272501506_511649462_23_1629983416,68.27483290032565,33.319473266601406,yandex_air
34,1274260225_520623227_23_1692190403,67.71057879125301,33.614387512206875,yandex_air
35,1270363172_517173349_23_1654558784,67.92905230593477,32.96104431152328,yandex_air
36,1272508005_516997346_23_1655780614,67.94026933445618,33.3207774907349,yandex_air
38,1279688752_518165528_23_1660050000,67.86653325768684,34.52454417943938,yandex_air
40,1469589538_518262662_23_1688450484,67.86039157290095,66.35914418846353,yandex_air
42,2066687341_515182696_23_1531839661,68.0543471266722,166.45546372979862,yandex_air
43,1200606526_531337477_23_1547811476,67.01873775383491,21.267352961003624,yandex_air
44,1256021063_523302935_23_1620582273,67.53946665574375,30.556938797235333,yandex_air
45,1267574376_529376283_23_1648134027,67.14682675937979,32.49343872070297,yandex_air
46,1273003895_522836808_23_1694531524,67.56933046659456,33.40390786528572,yandex_air
47,1263270891_529669402_23_1688672017,67.12778095067773,31.772285923361625,yandex_air
50,1265734762_529542211_23_1662920471,67.13601309177798,32.18513488769515,yandex_air
51,1466126191_534585625_23_1629779604,66.80498876538839,65.77855523675665,yandex_air
52,1473275455_522431812_23_1688370461,67.59524715700537,66.97704434394821,yandex_air
53,1468880554_521458047_23_1693050007,67.65744441171917,66.24029148370012,yandex_air
54,1463578523_530360573_23_1630171107,67.08265831735365,65.35146944224819,yandex_air
55,1496381517_533813860_23_1590055859,66.8559457763467,70.85049949586376,yandex_air
56,1156242311_545672171_23_1545133099,66.0611724527683,13.830222040414652,yandex_air
57,1174002641_551781505_23_1571398476,65.64172359015527,16.807529367506344,yandex_air
58,1168142943_546068877_23_1566128082,66.03414365575847,15.825220942497094,yandex_air
59,1171399158_549207347_23_1571398488,65.81929482364225,16.37108635157331,yandex_air
61,1255610759_551084298_23_1667493995,65.6899392861567,30.488156229257424,yandex_air
62,1271890719_550965884_23_1658393122,65.69811934634009,33.21729719638808,yandex_air
63,1273990928_550251787_23_1658245617,65.74734233588119,33.56906890869124,yandex_air
64,1270872156_546612585_23_1672839988,65.9970527294776,33.04654709994777,yandex_air
